Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IIASA 2023,SSP1,Haiti,GDP|PPP per capita,USD_2021/yr,3084.6974754681382,3743.8844770354513,4537.526140449724,5556.7580298665625,6716.094370150463,8151.2722920157485,9908.18709799469,12285.763546163504,15276.162057690093,18977.590815491363,23362.85026958032,28446.00377984955,34202.030667982865,40618.144787641795,47466.679165923015,53591.84062140313
IIASA 2023,SSP1,Hungary,GDP|PPP per capita,USD_2021/yr,42741.208725771976,46649.626498528916,50893.08876362211,55936.36882391581,59201.488300052035,62894.74950002023,65707.07145097568,71189.75706097622,75887.92426724998,79874.78677157668,83390.40344202213,86575.26743415146,90875.60920840384,96269.70327968679,102662.46792084917,107658.395608553
IIASA 2023,SSP1,Indonesia,GDP|PPP per capita,USD_2021/yr,13635.660264346547,15253.484146602375,17293.167420751768,19940.53476232002,23169.852593341973,27062.613250354127,31427.73391286846,36292.561244294266,41294.2458666353,46284.87119406648,50830.074632071446,54959.49676912595,58818.15011269444,62448.65726016628,65856.47079610928,67973.33164245904
IIASA 2023,SSP1,India,GDP|PPP per capita,USD_2021/yr,9216.58191278027,11135.382084260082,13591.539432119518,16690.488702491457,20274.223147525514,24169.625830599834,28206.569451318584,32786.550082027396,37570.557361968895,42453.4462527782,47122.659963240585,51469.426437342205,55551.751111118436,59549.03909966367,63386.086585924895,66014.00613228563
IIASA 2023,SSP1,Ireland,GDP|PPP per capita,USD_2021/yr,142711.36138815235,150216.49847551415,158502.81926019333,167035.85030786635,175961.14343106945,184240.58018781818,192840.88853974734,203375.72300305223,213292.25209108688,221182.10900480996,228100.5783373668,235193.4102572999,242757.26336680708,250382.69610029532,256993.83774762863,255834.97218051876
IIASA 2023,SSP1,Iran,GDP|PPP per capita,USD_2021/yr,17542.23004812687,19991.168182139394,22966.072780913204,26297.717764160436,30164.352934175,34173.09335727245,38528.99944272775,44199.07330706524,50321.00306831911,55961.543809546696,60646.24622343964,64773.52170021063,68804.88909997694,73229.43670832123,77280.44207442828,79523.26661707157
IIASA 2023,SSP1,Iraq,GDP|PPP per capita,USD_2021/yr,11466.31311900931,13613.811961499165,16183.447333617112,19207.962659257668,22572.074756773913,26211.357963072274,29839.89847739754,33403.39622873371,36741.0596966846,39869.004069310184,42677.460449782724,45030.404620599154,47275.08870314415,49467.71618175779,51603.93880640643,52784.234220325314
IIASA 2023,SSP1,Iceland,GDP|PPP per capita,USD_2021/yr,66498.16608572639,70847.60838710768,74982.55354118015,78746.82956407899,82287.87868081681,86296.61845210221,91339.11157211663,97355.88696930672,104087.48284966219,110845.26030397235,117472.52583531947,124193.04907812539,131168.4927289706,138443.70522026313,145665.02403754843,148392.6534279722
IIASA 2023,SSP1,Israel,GDP|PPP per capita,USD_2021/yr,54836.50402134446,59929.16838553302,64592.087305102665,68357.64004759301,71295.67711587217,74679.20441415942,77961.82565010882,81596.19525281095,85800.77683048016,90521.65017092942,95493.08097208333,100577.35764964884,105842.2699479574,111448.07172487665,117197.1015204283,118873.44276355187
IIASA 2023,SSP1,Italy,GDP|PPP per capita,USD_2021/yr,49831.883367654664,54155.36745693907,58279.88541253405,62638.71980983096,66799.18183113467,70589.907919698,75042.02423801081,81896.904881438,89738.39022457083,97357.42596007437,104809.35158376982,112431.68320258897,120124.54355042368,127925.53308557191,135544.0405974476,139723.3559206442
