"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IIASA-WiC POP 2023","SSP1","Honduras","Population","million",10.041782999999999,10.758549,11.389745999999999,11.915029,12.322689,12.642492,12.878124,13.030775,13.096862,13.087442,12.999687999999999,12.842452,12.625145,12.356744,12.038863,11.671224,11.251709000000002
"IIASA-WiC POP 2023","SSP1","Croatia","Population","million",4.114644,3.986789,3.862793,3.746386,3.635156,3.531209,3.43361,3.33961,3.247516,3.1576750000000002,3.070099,2.984032,2.898029,2.810969,2.722364,2.6310219999999997,2.5353120000000002
"IIASA-WiC POP 2023","SSP1","Haiti","Population","million",11.234504999999999,11.927053,12.506153000000001,12.967118000000001,13.305087,13.562736000000001,13.717257,13.754626,13.671842999999999,13.511502,13.283465,12.998558000000001,12.662311,12.279749,11.85646,11.402215,10.928139
"IIASA-WiC POP 2023","SSP1","Hungary","Population","million",9.77012300000001,9.602753000000002,9.44229200000001,9.266091000000001,9.083686,8.909112000000011,8.74709200000001,8.58886700000001,8.419652000000001,8.223961,7.998895000000001,7.759546,7.523994,7.298395000000011,7.072654000000001,6.838178,6.593908000000001
"IIASA-WiC POP 2023","SSP1","Indonesia","Population","million",270.825846,279.835215,288.180539,294.15258500000004,297.594932,299.186477,298.844602,296.86019400000004,293.12367800000004,287.84999200000004,281.36329700000005,273.96757900000006,265.91136700000004,257.336131,248.27173800000003,238.70007900000002,228.615199
"IIASA-WiC POP 2023","SSP1","India","Population","million",1389.966394,1440.101083,1485.835119,1518.47722,1537.916771,1547.096195,1545.574885,1535.154094,1516.115873,1489.185445,1455.424408,1414.873293,1367.9297,1315.517186,1258.9527269999999,1199.281994,1137.7512620000002
"IIASA-WiC POP 2023","SSP1","Ireland","Population","million",4.925076,5.124496000000001,5.268847,5.419479000000001,5.578805,5.745716000000001,5.911399999999999,6.049296,6.156416,6.234965,6.2929960000000005,6.332629,6.352278,6.33389,6.279954,6.2071439999999996,6.09319200000001
"IIASA-WiC POP 2023","SSP1","Iran","Population","million",86.990161,90.565796,93.76470400000011,96.31075500000011,98.3864639999999,100.164458,101.542815,102.42707000000001,102.63186,102.161732,101.12333100000001,99.573727,97.555352,95.124887,92.428678,89.66783000000001,86.9794459999999
"IIASA-WiC POP 2023","SSP1","Iraq","Population","million",42.042956,46.643886,50.927226000000005,54.933769,58.637607,62.038931,64.972816,67.405398,69.28845100000011,70.665852,71.6039500000001,72.204412,72.48757099999989,72.4419759999999,72.0424,71.261466,69.880418
"IIASA-WiC POP 2023","SSP1","Iceland","Population","million",0.36433000000000004,0.376536,0.38701599999999997,0.396534,0.40488299999999905,0.41253199999999995,0.41973699999999997,0.42565800000000004,0.43046399999999996,0.434351,0.437257,0.43896799999999997,0.438977,0.43505000000000005,0.42633800000000005,0.414601999999999,0.40246899999999997
"IIASA-WiC POP 2023","SSP1","Israel","Population","million",8.685595,9.358264,10.006966,10.640517000000001,11.280434999999999,11.9383,12.590547,13.210142,13.777984,14.298676,14.783279,15.240373,15.669295,16.061709999999998,16.409614,16.709874,16.962579
"IIASA-WiC POP 2023","SSP1","Italy","Population","million",59.639898,58.994817999999896,58.385998,57.869008,57.430045,57.052433,56.692641,56.132304,55.336733,54.31826,53.183824,52.001389,50.785672,49.36679,47.739837,45.866626,43.790974000000006
"IIASA-WiC POP 2023","SSP1","Jamaica","Population","million",2.814476,2.8294360000000003,2.838272,2.829674,2.803344,2.763556,2.711243,2.646166,2.569842,2.489216,2.404206,2.315284,2.222263,2.125706,2.026847,1.9270930000000002,1.821815
"IIASA-WiC POP 2023","SSP1","Jordan","Population","million",10.817082000000001,11.83881,12.806540000000002,13.693453,14.472276,15.162998,15.7162,16.132086,16.407632000000003,16.578166000000003,16.658284,16.658625,16.569211,16.392986,16.131308999999998,15.793120000000002,15.383930000000001
"IIASA-WiC POP 2023","SSP1","Japan","Population","million",125.542768,122.666144,119.848495,116.91472,113.880401,110.825023,107.861371,105.019382,102.18469400000001,99.17218700000001,95.8411249999999,92.145835,88.2118899999999,84.237347,80.339448,76.4460889999999,72.261192
"IIASA-WiC POP 2023","SSP1","Kazakhstan","Population","million",18.861057000000002,19.714857000000002,20.42809,20.98294,21.427310000000002,21.809985,22.08512,22.204438,22.142176,21.979649000000002,21.763080000000002,21.515456999999998,21.244867,20.95112,20.640938,20.318891,19.972811000000004
"IIASA-WiC POP 2023","SSP1","Kenya","Population","million",51.460216,56.535373,61.574145,66.30564999999991,70.553117,74.445929,78.016,80.879947,83.077088,84.600802,85.489219,85.82358900000001,85.664722,85.038413,83.949312,82.37480599999999,80.3515950000001
"IIASA-WiC POP 2023","SSP1","Kyrgyzstan","Population","million",6.372332999999999,6.86403900000001,7.278079,7.631034,7.938207,8.213718,8.42393999999999,8.558852000000002,8.618168,8.627937000000012,8.604279,8.551314,8.46746100000001,8.357286,8.224988,8.08196799999999,7.929847
"IIASA-WiC POP 2023","SSP1","Cambodia","Population","million",16.296273,17.198845000000002,17.90469,18.439518,18.795026000000004,18.984544000000003,19.019396,18.923752,18.722221,18.441109,18.069324,17.597309000000003,17.036048,16.4183,15.769733,15.087772000000001,14.358086
"IIASA-WiC POP 2023","SSP1","Kiribati","Population","million",0.12525799999999998,0.135272,0.14331200000000002,0.149362,0.15396600000000002,0.158198,0.16148500000000002,0.163272,0.163170999999999,0.161765,0.159552,0.156834,0.153725,0.15017000000000003,0.145983,0.14119299999999999,0.135936
"IIASA-WiC POP 2023","SSP1","South Korea","Population","million",51.858125,51.545979,51.113908,50.51364100000001,49.660188000000005,48.594758999999996,47.410029,45.860154,43.938435,41.845167000000004,39.727470000000004,37.634713000000005,35.610867999999996,33.648959000000005,31.687913,29.68334,27.660117
"IIASA-WiC POP 2023","SSP1","Kuwait","Population","million",4.468361,4.7224840000000015,4.9295279999999995,5.102863,5.249776,5.371810000000001,5.453073000000001,5.482246,5.457776,5.375326,5.245572,5.087782000000001,4.921811,4.761916,4.61402100000001,4.471388,4.314092
"IIASA-WiC POP 2023","SSP1","Laos","Population","million",7.265649000000001,7.714072000000001,8.06235600000001,8.325835999999999,8.509295999999999,8.626327,8.664784000000012,8.635947,8.548375,8.415252,8.24209300000001,8.029527,7.781326,7.505229000000001,7.212560000000001,6.910506000000001,6.603357
