entity_code,entity_name,historical_population,historical_population_first_year,historical_population_last_year,historical_electricity_demand_per_capita,historical_electricity_demand_per_capita_first_year,historical_electricity_demand_per_capita_last_year,historical_gdp_ppp_per_capita,historical_gdp_ppp_per_capita_first_year,historical_gdp_ppp_per_capita_last_year,future_population,future_gdp_ppp_per_capita,future_electricity_demand_per_capita,area_greater_than_500_km2
HKG,Hong Kong,True,1960.0,2024.0,True,1990.0,2023.0,True,1980.0,2024.0,True,True,True,True
HMD,Heard Island and McDonald Islands,False,,,False,,,False,,,False,False,False,False
HND,Honduras,True,1960.0,2024.0,True,1990.0,2023.0,True,1980.0,2024.0,True,True,True,True
HRV,Croatia,True,1960.0,2024.0,True,1990.0,2024.0,True,1990.0,2024.0,True,True,True,True
HTI,Haiti,True,1960.0,2024.0,True,1990.0,2022.0,True,1980.0,2024.0,True,True,True,True
HUN,Hungary,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
IDN,Indonesia,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
IDN_AC,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_BA,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_BB,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_BE,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_BT,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_GO,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_JA,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_JB,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_JI,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_JK,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_JT,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_KB,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_KI,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_KR,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_KS,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_KT,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_LA,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_MA,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_MU,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_NB,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_NT,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_PA,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_PB,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_RI,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_SA,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_SB,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_SG,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_SN,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_SR,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_SS,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_ST,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_SU,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IDN_YO,Subdivision of Indonesia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IMN,Isle of Man,True,1960.0,2024.0,False,,,False,,,False,False,False,True
IND,India,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
IND_AN,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_AP,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_AR,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_AS,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
IND_BR,Subdivision of India,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
